station_code;location_code;location_name;country_code;country_code_border;y_coord;x_coord;y_coord_end;x_coord_end;catchment;altitude;distance_to_mouth;distance_to_mouth_end;river;remark
JDS47;M;Upstream Timok (Rudujevac/Gruia);RS;RO;44.260917;22.684983;;;;;847;;;
JDS47;R;Upstream Timok (Rudujevac/Gruia);RS;RO;44.259500;22.683067;;;;;847;;;
JDS48;L;/Timok (rkm 0.2);RS;BG;44.213611;22.670028;;;;;845;;;
JDS48;M;/Timok (rkm 0.2);RS;BG;44.214917;22.672150;;;;;845;;;
JDS48;R;/Timok (rkm 0.2);RS;BG;;;;;;;;;;
JDS49;L;Pristol/Novo Selo Harbour;RO;BG;44.175050;22.783800;;;;;837;;;
JDS49;M;Pristol/Novo Selo Harbour;RO;BG;44.172300;22.782167;;;;;837;;;
JDS49;R;Pristol/Novo Selo Harbour;RO;BG;44.169167;22.780183;;;;;837;;;
JDS50;L;Downstream Kozloduy;BG;RO;43.749917;23.898700;;;;;686;;;
JDS50;M;Downstream Kozloduy;BG;RO;43.748650;23.897450;;;;;686;;;
JDS50;R;Downstream Kozloduy;BG;RO;43.746500;23.897400;;;;;686;;;
JDS51;L;/Iskar (rkm 0.3);BG;;43.729389;24.444294;;;;;637;;;
JDS51;M;/Iskar (rkm 0.3);BG;;43.729900;24.443817;;;;;637;;;
JDS51;R;/Iskar (rkm 0.3);BG;;43.72963889;24.444794;;;;;637;;;
JDS52;L;Downstream Olt;RO;BG;43.713217;24.806417;;;;;604;;;
JDS52;M;Downstream Olt;RO;BG;43.710500;24.806200;;;;;604;;;
JDS52;R;Downstream Olt;RO;BG;43.708850;24.808433;;;;;604;;;
JDS53;L;Downstream Zimnicea/Svishtov;RO;BG;43.623417;25.401750;;;;;550;;;
JDS53;M;Downstream Zimnicea/Svishtov;RO;BG;43.619583;25.401083;;;;;550;;;
JDS53;R;Downstream Zimnicea/Svishtov;RO;BG;43.617217;25.403917;;;;;550;;;
JDS54;L;/Jantra (rkm 1.0);BG;;43.632917;25.568628;;;;;537;;;
JDS54;M;/Jantra (rkm 1.0);BG;;43.637483;25.569867;;;;;537;;;
JDS54;R;/Jantra (rkm 1.0);BG;;43.632778;25.569081;;;;;537;;;
JDS55;L;Downstream Jantra;RO;BG;43.674150;25.619433;;;;;532;;;
JDS55;M;Downstream Jantra;RO;BG;43.671017;25.617767;;;;;532;;;
JDS55;R;Downstream Jantra;RO;BG;43.668683;25.623833;;;;;532;;;
JDS56;L;/Russenski Lom;BG;;43.83476667;25.93111111;;;;;498;;;
JDS56;M;/Russenski Lom;BG;;43.834817;25.930917;;;;;498;;;
JDS56;R;/Russenski Lom;BG;;;;;;;;;;;
JDS57;L;Downstream Ruse/Giurgiu;BG;RO;43.890150;26.017067;;;;;488;;;
JDS57;M;Downstream Ruse/Giurgiu;BG;RO;43.889583;26.014850;;;;;488;;;
JDS57;R;Downstream Ruse/Giurgiu;BG;RO;43.889167;26.018067;;;;;488;;;
JDS58;L;/Arges;RO;;44.06152222;26.61783056;;;;;432;;;
JDS58;M;/Arges;RO;;;;;;;;;;;
JDS58;R;/Arges;RO;;44.064111;26.621167;;;;;432;;;
JDS59;L;Downstream Arges, Oltenita;RO;BG;44.066317;26.655883;;;;;429;;;
JDS59;M;Downstream Arges, Oltenita;RO;BG;44.061950;26.654267;;;;;429;;;
JDS59;R;Downstream Arges, Oltenita;RO;BG;44.058067;26.655667;;;;;429;;;
JDS60;L;Chiciu/Silistra;RO;BG;44.118700;27.234550;;;;;375;;;
JDS60;M;Chiciu/Silistra;RO;BG;44.115933;27.235067;;;;;375;;;
JDS60;R;Chiciu/Silistra;RO;BG;44.113400;27.236467;;;;;375;;;
JDS61;L;Giurgeni;RO;;44.774733;27.863050;;;;;232;;;
JDS61;M;Giurgeni;RO;;44.776117;27.863600;;;;;232;;;
JDS61;R;Giurgeni;RO;;44.776733;27.858700;;;;;232;;;
JDS62;L;Braila;RO;;45.300867;27.994933;;;;;170;;;
JDS62;M;Braila;RO;;45.300817;27.997217;;;;;170;;;
JDS62;R;Braila;RO;;45.300550;28.000633;;;;;170;;;
JDS63;L;/Siret (rkm 1.0);RO;;45.400100;28.011433;;;;;154;;;
JDS63;M;/Siret (rkm 1.0);RO;;45.399083;28.010800;;;;;154;;;
JDS63;R;/Siret (rkm 1.0);RO;;45.399367;28.011883;;;;;154;;;
JDS64;L;/Prut (rkm 1.0);RO;MD;45.471122;28.200086;;;;;135;;;
JDS64;M;/Prut (rkm 1.0);RO;MD;45.471567;28.197000;;;;;135;;;
JDS64;R;/Prut (rkm 1.0);RO;MD;45.47078333;28.19997222;;;;;135;;;
JDS65;L;Reni;RO;UA;45.457850;28.261783;;;;;132;;;
JDS65;M;Reni;RO;UA;45.456300;28.260133;;;;;132;;;
JDS65;R;Reni;RO;UA;45.454083;28.258967;;;;;132;;;
JDS66;L;Vilkova - Chilia arm/Kilia arm;RO;UA;45.395533;29.585467;;;;;18;;;
JDS66;M;Vilkova - Chilia arm/Kilia arm;RO;UA;45.394550;29.581400;;;;;18;;;
JDS66;R;Vilkova - Chilia arm/Kilia arm;RO;UA;45.391833;29.593950;;;;;18;;;
JDS67;L;Sulina - Sulina arm;RO;;45.194500;28.959333;;;;;31;;;
JDS67;M;Sulina - Sulina arm;RO;;45.194000;28.959383;;;;;31;;;
JDS67;R;Sulina - Sulina arm;RO;;45.193417;28.959217;;;;;31;;;
JDS68;L;Sf.Gheorghe - Sf.Gheorghe arm;RO;;45.159533;28.908933;;;;;104;;;
JDS68;M;Sf.Gheorghe - Sf.Gheorghe arm;RO;;45.159367;28.906700;;;;;104;;;
JDS68;R;Sf.Gheorghe - Sf.Gheorghe arm;RO;;45.156983;28.906900;;;;;104;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
