Row Labels;JDS1;JDS10;JDS11;JDS12;JDS13;JDS14;JDS15;JDS16;JDS17;JDS18;JDS19;JDS2;JDS20;JDS21;JDS22;JDS23;JDS24;JDS25;JDS26;JDS27;JDS28;JDS29;JDS3;JDS30;JDS31;JDS32;JDS33;JDS34;JDS35;JDS36;JDS37;JDS38;JDS39;JDS4;JDS40;JDS41;JDS42;JDS43;JDS44;JDS45;JDS46;JDS47;JDS48;JDS49;JDS5;JDS50;JDS51;JDS52;JDS53;JDS54;JDS55;JDS56;JDS57;JDS58;JDS59;JDS6;JDS60;JDS61;JDS62;JDS63;JDS64;JDS65;JDS66;JDS67;JDS68;JDS7;JDS8;JDS9
23092-17-3;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
25057-89-0;0.0175;0.01375;0.01375;0.025;0.01375;0.01375;0.01375;0.0175;0.01375;0.0175;0.01375;0.01375;0.01375;0.01375;0.01375;0.0175;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.0175;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.0175;0.01375;0.015;0.01375;0.0175;0.01375;0.01375;0.025;0.01375;0.025;0.01375;;0.01375;0.01375;0.01375;0.01375;0.01375;0.015;0.025;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375;0.01375
27203-92-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;0.01;;;;;;;0.01;;;;0.01;0.01;;0.01;;0.01;0.01;;0.01;;;0.01;;0.01;0.01;;0.01;;0.01;;;
28159-98-0;0.000726667;0.001236;0.0015;0.001;0.001236;0.0015;0.0015;0.000726667;0.001333333;0.001;0.0015;0.0015;0.0015;0.0015;0.0015;0.001;0.0015;0.001236;0.001236;0.0015;0.001045;0.001045;0.001236;0.001236;0.001045;0.001236;0.001236;0.001236;0.001045;0.001236;0.001045;0.001236;0.001236;0.001236;0.001236;0.000726667;0.001236;0.001236;0.001236;0.001236;0.001236;0.001236;0.000726667;0.001236;0.0015;0.001236;0.000726667;0.001236;0.001236;0.000726667;0.001236;0.000726667;0.001236;0.000726667;0.001236;0.0015;0.001236;0.001236;0.001236;0.001236;0.000726667;0.001045;0.001236;0.001045;0.001236;0.001236;0.001236;0.001333333
28981-97-7;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;;;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;;0.001;0.001;0.001;0.001;0.001;0.001;0.001;;0.001;0.001;0.001
29122-68-7;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;;0.1;;0.1;0.1;;0.1;0.1;0.1;;;;0.1;;;0.1;;;;;;;0.1;;0.1;;0.1;0.1;0.1;;;;0.1;;0.1;0.1;0.1;0.1;0.1
2955-38-6;0.001;;0.001;0.001;0.001;0.001;0.001;0.001;;0.001;0.001;;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;;0.001;0.001;;0.001;0.001;;0.001;0.001;0.001;0.001;0.001;0.001
298-46-4;0.02;0.02;;;0.02;0.02;0.02;;;;;;;;;;;;;;;0.02;;;;;;;;;0.02;;;;;;;;;;;;;;;;;0.02;;0.02;;;0.02;;0.02;;;;0.02;0.02;0.02;;;0.02;;;;
30125-63-4;0.0125;0.00625;0.00625;0.025;0.00625;0.00625;0.00625;0.0125;0.00625;0.0125;0.00625;0.00625;0.00625;0.00625;0.00625;0.0125;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.0125;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.0125;0.00625;0.00625;0.00625;0.0125;0.00625;0.00625;0.0125;0.00625;0.0125;0.00625;0.0125;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.0125;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625;0.00625
307-24-4;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.015125;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.01025;0.02;0.02;0.02;0.01025;0.02;0.02;0.02;0.02;0.01025;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.015125;0.01025;0.02;0.02;0.02;0.02;0.02;0.02;0.02
